user_slug,username,school
RohanRVC,RohanRVC,
titana,titana,
aryaejoumalai,aryaejoumalai,
the_og1900,the_og1900,
ama2ing-kilbyvyl,,
ming1ning,,
thor_77,thor_77,
cranky-6agarinizj,,
SheenYangYun4,SheenYangYun4,
ml-terminator,ml-terminator,
kashsuks,kashsuks,
pk8pPojgum,pk8pPojgum,
that_panda,that_panda,University of Washington
oalad-zro,,
Yoshi_mitsu,Yoshi_mitsu,
pku_erutan,pku_erutan,Peking University
upbeat-dewdneysxp,,
2kfOHeGUHJ,2kfOHeGUHJ,
kmnasdpppsdm1236,,
tsreaper,tsreaper,
iancn,,
Axoryn,Axoryn,
Memo11,Memo11,hu
afakeusername,afakeusername,
sunnynguyenai,sunnynguyenai,
sam_990,sam_990,
hhczc,,
JgQkBlRs72,JgQkBlRs72,
oAZntgdtU5,oAZntgdtU5,
lakh,lakh,Delhi Technological University
arignote,arignote,
ajinkya1p3,ajinkya1p3,
fatalerror-i,,
uwi,uwi,
TKTYI,TKTYI,
fan-fan-fan-a9,,
Intellegent,Intellegent,
elysia-4,,
pulkit12dhingra,pulkit12dhingra,University of Bristol
w285714,,
Maruzensky,Maruzensky,
loving-perlmanzm0,,
mikeac,mikeac,
tonyli00000,tonyli00000,
t38178,t38178,
krism,KrisM,
quocduydo1998,quocduydo1998,Home School
blissful-sahauxu,,
12121-b,,
hup-hup1,hup-hup1,Indian Institute of Technology
lucifer1006,lucifer1006,
tanakat01,tanakat01,
wei-qi-zheng,,
FoxNinja,FoxNinja,"Indian Institute of Technology, Indore"
m6PGlH5jA3,,
tin_le,tin_le,
xs_pg,xs_pg,
freeyourmind,freeyourmind,
VitVelloreCoder,VitVelloreCoder,
xi-jun-xiao-zi,,
itsankitraj07,itsankitraj07,
bronzekiller2017,bronzekiller2017,Carnegie Mellon University
Reddi-twelve,Reddi-twelve,
cache_clear,cache_clear,
Og49AmfURz,Og49AmfURz,
balakrishnan_v,balakrishnan_v,
Ma_Lin,Ma_Lin,Chinese National Table Tennis Team
kanishkgupta08,kanishkgupta08,
crimson-agnz-pureeze,,
bitanSarkar1997,bitanSarkar1997,IIT Bhubaneswar
jai_gurudev,jai_gurudev,RRGI
tang-yuan-yuan-bu-yuan,,
ttrjghngh,ttrjghngh,
Kareem_Elgoker,Kareem_Elgoker,
smilences,,
megurine,megurine,
Cookie_Cream,Cookie_Cream,
anirudhsony22,anirudhsony22,University of Arizona
jacobj2,jacobj2,
superj,superj,
gomamon,gomamon,
shaletome,shaletome,Carnegie Mellon University
Quar,Quar,
ujimatsu_chiya,,
LeetCoach,LeetCoach,
Ryazimn,Ryazimn,
guptagaurav7375,guptagaurav7375,
