rank,username,user_slug,country_code,country_name,score,finish_time,data_region,contest_id,problem_4045_date,problem_4045_fail_count,problem_4045_lang,problem_4045_submission_id,problem_4080_date,problem_4080_fail_count,problem_4080_lang,problem_4080_submission_id
3200,Hari Akkash,HariAkkash_20,,,7,1760841349,US,1222,1760841349,0,cpp,1805459400,1760841153,0,cpp,1805452646
3201,Abhishek Karatagi,user0105UQ,,,7,1760841350,US,1222,1760841350,0,cpp,1805459417,1760841147,0,cpp,1805452413
3202,Mijael Tola,mijatolaxd,BO,Bolivia,7,1760841352,US,1222,1760841352,0,cpp,1805459482,1760841111,0,cpp,1805451227
3203,Abhay_Sharma21,Abhay_Sharma17,IN,India,7,1760841352,US,1222,1760841352,0,cpp,1805459510,1760841141,0,cpp,1805452164
3204,anuj_CH,anuj_CH,,,7,1760841353,US,1222,1760841353,0,cpp,1805459514,1760841153,0,cpp,1805452637
3205,Adi,A_D_I,IN,India,7,1760841353,US,1222,1760841353,0,python3,1805459532,1760841133,0,python3,1805451913
3206,Shresth Bansal,TheLxcifer,IN,India,7,1760841355,US,1222,1760841355,0,cpp,1805459583,1760841113,0,cpp,1805451287
3207,Santosh Kakkera,santosh_01,US,United States,7,1760841356,US,1222,1760841356,0,python3,1805459618,1760841132,0,python3,1805451892
3208,Rhitam Bhuiya,rhibhu,IN,India,7,1760841357,US,1222,1760841357,0,python3,1805459633,1760841137,0,python3,1805452035
3209,Preet Monga,PreetMongaPM,IN,India,7,1760841359,US,1222,1760841359,0,cpp,1805459689,1760841151,0,cpp,1805452592
3210,Aditya Sharma,dequeued,IN,India,7,1760841359,US,1222,1760841359,0,cpp,1805459708,1760841155,0,cpp,1805452713
3211,Kartik Kumar Singh,kartikkumarsingh159,,,7,1760841360,US,1222,1760841360,0,cpp,1805459718,1760841161,0,cpp,1805452915
3212,shashi thakur,shashi33984,,,7,1760841360,US,1222,1760841360,0,cpp,1805459737,1760841121,0,cpp,1805451530
3213,vimalraja,vimalraja,IN,India,7,1760841360,US,1222,1760841360,0,python3,1805459746,1760841199,0,python3,1805454263
3214,Kushagra Agarwal,Kushagra5124,IN,India,7,1760841361,US,1222,1760841361,0,cpp,1805459749,1760841180,0,cpp,1805453597
3215,Nikhil_Prakash_215_Shiva,Nikhil_Prakash_215_Shiva,,,7,1760841361,US,1222,1760841361,0,java,1805459774,1760841091,0,java,1805450708
3216,Vidhyadhar09,Vidhyadhar09,,,7,1760841363,US,1222,1760841363,0,cpp,1805459806,1760841177,0,cpp,1805453474
3217,Singuluri Naga Syam Praneeth,Singuluri_Naga_Syam_Praneeth,IN,India,7,1760841363,US,1222,1760841363,0,cpp,1805459820,1760841204,0,cpp,1805454454
3218,Sangam Dhiman,SD691,IN,India,7,1760841364,US,1222,1760841364,0,cpp,1805459853,1760841145,0,cpp,1805452341
3219,abac,m1s2x3,,中国,7,1760841364,CN,1265,1760841364,0,python3,671745745,1760841068,0,python3,671743957
3220,dhruv_malaviya,dhruvm1406,,,7,1760841366,US,1222,1760841366,0,cpp,1805459899,1760841125,0,cpp,1805451669
3221,J Narendar,narendar_7,IN,India,7,1760841368,US,1222,1760841368,0,python3,1805459951,1760841229,0,python3,1805455341
3222,SARTHAK JAIN,sarthak_jain18,IN,India,7,1760841368,US,1222,1760841368,0,cpp,1805459955,1760841115,0,cpp,1805451338
3223,Akshay Pamnani,long_game_player,US,United States,7,1760841369,US,1222,1760841369,0,python3,1805460008,1760841101,0,python3,1805450973
3224,Aditya Gupta,hunter_148,IN,India,7,1760841369,US,1222,1760841369,0,cpp,1805460022,1760841093,0,cpp,1805450753
3225,Devanshu Sharma,devanshu_shar,,,7,1760841370,US,1222,1760841370,0,cpp,1805460052,1760841211,0,cpp,1805454719
3226,SeifShaheen,SeifShaheen,EG,Egypt,7,1760841371,US,1222,1760841371,0,cpp,1805460065,1760841110,0,cpp,1805451200
3227,Shiva Sankar,shiva1718,,,7,1760841372,US,1222,1760841372,0,java,1805460120,1760841120,0,java,1805451510
3228,Rakshit Singh,r____singh,,,7,1760841372,US,1222,1760841372,0,cpp,1805460124,1760841144,0,cpp,1805452278
3229,Tejuuu_7777,Tejuuu_7777,,,7,1760841373,US,1222,1760841373,0,python3,1805460155,1760841299,0,python3,1805457719
3230,Hacker_Zero,Hacker_Zero,,,7,1760841373,US,1222,1760841373,0,python3,1805460167,1760841094,0,python3,1805450788
3231,jagbarrameda,jagbarrameda,,,7,1760841374,US,1222,1760841374,0,java,1805460192,1760841187,0,java,1805453829
3232,Krishna Pratap Singh,Krishna_786933,IN,India,7,1760841376,US,1222,1760841376,0,cpp,1805460241,1760841131,0,cpp,1805451857
3233,Ayushhh7900,Ayushhh7900,,,7,1760841377,US,1222,1760841377,0,cpp,1805460267,1760841097,0,cpp,1805450851
3234,Kashyap Rupareliya,kashyaprupareliya1811,IN,India,7,1760841378,US,1222,1760841378,0,cpp,1805460283,1760841117,0,cpp,1805451392
3235,Mouleas,Mouleas,IN,India,7,1760841379,US,1222,1760841379,0,python3,1805460336,1760841130,0,python3,1805451810
3236,Logeswari M,djsXLpmcmR,,,7,1760841379,US,1222,1760841379,0,python3,1805460344,1760841173,0,python3,1805453347
3237,rajender05,rajender05,,,7,1760841380,US,1222,1760841380,0,cpp,1805460355,1760841140,0,cpp,1805452124
3238,Manvir Singh,manvirsingh0427,IN,India,7,1760841380,US,1222,1760841380,0,cpp,1805460370,1760841103,0,cpp,1805451012
3239,SamBillon,SamBillon,US,United States,7,1760841380,US,1222,1760841380,0,cpp,1805460385,1760841069,0,cpp,1805450337
3240,Suraj Rajak,rajsuraj2021,,,7,1760841380,US,1222,1760841380,0,cpp,1805460399,1760841185,0,cpp,1805453754
3241,Aswin S,Hox_D_Aswin,IN,India,7,1760841381,US,1222,1760841381,0,cpp,1805460409,1760841162,0,cpp,1805452941
3242,Harshul Garg,codekar21,IN,India,7,1760841381,US,1222,1760841381,0,cpp,1805460413,1760841133,0,cpp,1805451919
