user_slug,username,school
OP_jash12-3,OP_jash12-3,
shuvo1616,shuvo1616,
jackle,JackLe,
yuzining,YuZining,
Ishan-23,Ishan-23,
r5tlNsQ779,r5tlNsQ779,
maruser,,
crimson-agnz-pureeze,,
afatwapas,afatwapas,Delhi Technological University
deepjyoti123,deepjyoti123,
zero_92,zero_92,
hastings2k,hastings2k,
kanishkgupta08,kanishkgupta08,
Harsh_kunwar,Harsh_kunwar,
Ranshika_24,Ranshika_24,
The_Yeagerist,The_Yeagerist,RV College of Engineering
sam_990,sam_990,
exciting-greidernqx,,
samyukthasam,samyukthasam,
KuyXPKIc7K,KuyXPKIc7K,
nhienle94,nhienle94,FPT University
wsyxusnm,wsyxusnm,
tamyte,tamyte,
ltf0501,ltf0501,
i3lissful-cori5lm,,
Titu02,Titu02,NIT Silchar
Dhongee,Dhongee,Indian Institute of Technology Jodhpur
hewhocodes,hewhocodes,
xsluki,xsluki,
elegant-eliony5c,,
fan-fan-fan-a9,,
shxun,shxun,"Indian Institute of Information Technology, Kottayam"
ilikesummer,ilikesummer,BIT Mesra
mrhga_777,mrhga_777,
chuan-chih,chuan-chih,
kl2400080094,kl2400080094,KL University
sergey_chebotarev,sergey_chebotarev,
SachchitNesarikar,SachchitNesarikar,
malivinayak,malivinayak,
skg285,skg285,
W4VbyaQmUH,W4VbyaQmUH,
Yesh_005,Yesh_005,National Institute of Technology Silchar
amazing-euclidb0n,,
drrrzdk,,
adityakumar2505,adityakumar2505,
eatfood,eatfood,
stringray2,stringray2,
Fishron,Fishron,
dxke01,dxke01,
LeetCoach,LeetCoach,
Ravikumar_18,Ravikumar_18,Raghu College
papapolak,papapolak,
AryanJaiswal28,AryanJaiswal28,
priyanshuagrawal801,priyanshuagrawal801,
Fasdr,Fasdr,
Swaraj_Unde,Swaraj_Unde,"Birla Institute of Technology Mesra, Ranchi"
shashankcode9,shashankcode9,Ajay Kumar Garg Engineering College
shauryadusht,shauryadusht,IIIT SURAT
leolee2020,leolee2020,
kannav123,kannav123,
dream2026,dream2026,
tungghun22,tungghun22,
q8skkOOXdx,q8skkOOXdx,
Dsacoder_7,Dsacoder_7,
krishsaini_777,krishsaini_777,BIT Mesra
wincss,wincss,
programmer3824,programmer3824,
hhuuuu,,
AyushK22,AyushK22,
RFAANG,RFAANG,Veermata Jijabai Technological Institute
blissful-sahauxu,,
parth_contesttt,parth_contesttt,
smalukav,smalukav,
G26Karthik,G26Karthik,
bera_474,bera_474,Jalpaiguri Government Engineering College 
raj_singh35,raj_singh35,IET Lucknow
bhupendragehlot88,bhupendragehlot88,
xiao-ze-15,,
SPIDEY_BOY,deleted_user,
Saitamajwjh,Saitamajwjh,
akshat9999,akshat9999,
nithish_654,nithish_654,
singlapriyanka013,singlapriyanka013,CHANDIGARH UNIVERSITY
teemu_ryyti,teemu_ryyti,
miya145592,miya145592,
mightBeSam,mightBeSam,
krishan_luhach,krishan_luhach,
VirajAshar,VirajAshar,
non_deterministic,non_deterministic,IIT Kharagpur
Siddharth_Joshi,Siddharth_Joshi,Indian Institute of Information Technology Allahabad
al_jabr,al_jabr,
EggRoll-Taiyaki,EggRoll-Taiyaki,
sonishivansh,sonishivansh,
none-31,,
x____x,x____x,
kumark6769704,kumark6769704,
T9wRIZeJm4,T9wRIZeJm4,
Jaguar-,Jaguar-,
david_hoengy,david_hoengy,
jeremyzhang96,JeremyZhang96,
winter_training,,
audience-ne,,
manoj0606,manoj0606,
Suman_kuri56,Suman_kuri56,
hakonleung,,
vishnubathla,vishnubathla,
cosmosoul,cosmosoul,
shkhokhar111,shkhokhar111,FAST NUCES LAHORE
xiao-mai-11e,,
smitp_04,smitp_04,Nirma University
sy8684507,sy8684507,IIT BHU
dhingrahimanshu,dhingrahimanshu,
counter98,counter98,Hanoi University of Science and Technology
goshan2004,goshan2004,
bytecode_1234,bytecode_1234,
mnnit_prakharg,mnnit_prakharg,
m6PGlH5jA3,,
sahoo-ankit,sahoo-ankit,
tnaveen2308,tnaveen2308,VNR Vignana Jyothi Institute of Engineering and Technology
vipbaswan,vipbaswan,"BITS Pilani, Pilani Campus"
lddlinan,lddlinan,
prathik8794,prathik8794,
jacobj2,jacobj2,
coderchamp07,coderchamp07,
_Dragneel,_Dragneel,
shivanshu_0,shivanshu_0,"Motilal Nehru National Institute Of Technology, Allahabad"
f20210772,f20210772,
1Sheetal575,1Sheetal575,
sujalXpro,sujalXpro,Sardar Patel Institute of Technology
elated-mcnultyaad,,
zmy_code,,
boAshraf,boAshraf,Sohag University
interesting-7amarrm7s,,
gagan1146,gagan1146,ABES ENGINEERING COLLEGE GHAZIABAD
rohitjazz199955,rohitjazz199955,
karthikyenugu,karthikyenugu,
ssyy1106,ssyy1106,
aakarsh_009,aakarsh_009,IIT Jodhpur
SOMNATH_MISHRA,SOMNATH_MISHRA,
Ayush_Yadav_07,Ayush_Yadav_07,Pranveer Singh Institute of Technology
Sanjai790,Sanjai790,
Nish1110,Nish1110,
sshivendra764,sshivendra764,
gammaBeta,gammaBeta,
haridass_10,haridass_10,"College of Engineering, Guindy"
gauss123,gauss123,
guesswhohas2cats,guesswhohas2cats,
Achintya_1583,Achintya_1583,Chandigarh University
elysia-4,,
bugdone,bugdone,
mastttttter,Mastttttter,
HiteshGupta20,HiteshGupta20,DTU
tEfkqycZp6,tEfkqycZp6,
windy-a8,,
tanmef,,
Abhay_kumar212,Abhay_kumar212,"National Institute of Technology , Kurukshetra"
halfOptimized,halfOptimized,
cr702,cr702,
tg_delete,tg_delete,
talhaah5,talhaah5,
abhi_drizzle12,abhi_drizzle12,ABES Engineering College
nirmalSinghsidhu,nirmalSinghsidhu,Punjabi University
hopeful-tulnx,,
nevergiveup,nevergiveup,Zhejiang University
swayam-09,swayam-09,NIT Rourkela
lee0560,lee0560,
yiren-0429,,
_RisingPhoenix_,_RisingPhoenix_,IIT BHU
aachaldhole22,aachaldhole22,Indian School of Mines
3bkarm,3bkarm,
FoxNinja,FoxNinja,"Indian Institute of Technology, Indore"
timeouterr,timeouterr,
lambda4477,,
Ishitaa_09,Ishitaa_09,
rezero123,,
uttejdunga7,uttejdunga7,
u23cs159,u23cs159,SVNIT
P8kn55oVgj,P8kn55oVgj,
sagarrvala,sagarrvala,
Sourajit05,Sourajit05,
ding-fei-5,,
AkshatSaxena_05,AkshatSaxena_05,
gauravbro17,gauravbro17,
raumanian,raumanian,
FaizFK,FaizFK,
beautiful-shawsfr,,
nthorder,nthorder,
kumar_576,kumar_576,Jawaharlal Nehru Technological University Kakinada
jatin-agrawal,jatin-agrawal,MNIT 
DE45A,DE45A,
Optimizer_04,Optimizer_04,
ashishtiwari05032002,ashishtiwari05032002,"Indiana Institute of Technology, Varanasi"
Aryan-Dwivedi,Aryan-Dwivedi,
Sarthak_1609,Sarthak_1609,
john110318,john110318,
GlobalStart,GlobalStart,
123GJWEQ2,123GJWEQ2,
Aneek24,Aneek24,
divyansh_8,divyansh_8,
manoj_0207,manoj_0207,Karpagam College Of Engineering
guptagaurav7375,guptagaurav7375,
code_matrix,code_matrix,
mahendra_siddh,mahendra_siddh,National Institute of Technology Patna
naitikkotadiya8105,naitikkotadiya8105,
L3OLzwUcRG,L3OLzwUcRG,
Panthoiba,Panthoiba,
PS_83,PS_83,
enosh01,enosh01,
arun_alternate,arun_alternate,
dragonman164,dragonman164,
SUVU01,SUVU01,"Indian Institute Of Technology, Kharagpur"
Nishan10,Nishan10,
ribupkashyap,ribupkashyap,
merwanel,merwanel,
macuadros,macuadros,
jaybro,jaybro,
mikeac,mikeac,
janhvi1234,janhvi1234,
OnlyOnlyMyRailgun,OnlyOnlyMyRailgun,
CoderChatur,CoderChatur,
